Id,Group,Exam,MCQ_1,MCQ_2,MCQ_3,MCQ_4,MCQ_5,MCQ_6,MCQ_7,MCQ_8,MCQ_9,MCQ_10,Online_MCQ_1,Online_MCQ_2,Online_MCQ_3,Online_MCQ_4,Online_MCQ_5,Online_MCQ_6,Online_MCQ_7,Online_MCQ_8,Online_MCQ_9,Online_MCQ_10,Online_MCQ_11,Online_MCQ_12,Online_MCQ_13,Online_MCQ_14,Online_MCQ_15,Online_MCQ_16,Online_MCQ_17,Online_MCQ_18,Online_MCQ_19
718,grp_16,3,5,NA,9.09090909090909,7.058823529411765,NA,20,6.666666666666666,12.941176470588236,7.5,13.333333333333332,20,16.67,NA,0,NA,10,0,NA,20,NA,20,NA,NA,NA,NA,NA,NA,0,NA
376,grp_23,3.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,grp_17,5,13.333333333333332,15.384615384615385,20,10.588235294117647,16.923076923076923,20,17.77777777777778,17.647058823529413,15,15.555555555555555,20,15,12.73,NA,NA,NA,NA,9.09,13.33,NA,20,13.33,3.33,15,16,13.33,20,NA,20
280,grp_18,3,10,7.6923076923076925,0,5.882352941176471,12.307692307692308,16,11.11111111111111,4.117647058823529,2.5,NA,NA,13.33,NA,NA,NA,15,NA,NA,13.33,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,grp_17,3,5,3.076923076923077,9.09090909090909,7.058823529411765,10.769230769230768,16,6.666666666666666,8.235294117647058,5,6.666666666666666,11.43,8.33,NA,NA,NA,15,NA,NA,6.67,NA,17.14,NA,0,NA,NA,NA,13.33,NA,NA
244,grp_3,8,6.666666666666666,16.923076923076923,16.363636363636363,8.235294117647058,13.846153846153847,20,15.555555555555555,20,20,20,20,15,20,NA,17.5,20,15,11.82,20,16.67,20,20,20,20,16,20,20,NA,20
691,grp_6,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,grp_12,8.5,NA,18.461538461538463,14.545454545454547,16.470588235294116,16.923076923076923,16,6.666666666666666,20,7.5,NA,14.29,13.33,14.55,NA,NA,20,NA,NA,20,16.67,17.14,20,NA,15,NA,20,16.67,NA,13.33
203,grp_15,10,8.333333333333334,12.307692307692308,14.545454545454547,17.647058823529413,15.384615384615385,8,4.444444444444445,13.529411764705884,17.5,8.88888888888889,17.14,8.33,12.73,NA,2.5,10,NA,14.55,6.67,10,17.14,20,6.67,20,12,20,20,NA,16.67
590,grp_12,4,1.6666666666666665,12.307692307692308,10.909090909090908,2.3529411764705883,7.6923076923076925,16,8.88888888888889,4.117647058823529,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,13.33
379,grp_23,0,1.6666666666666665,7.6923076923076925,6.363636363636363,7.058823529411765,6.153846153846154,20,6.666666666666666,4.705882352941177,5,8.88888888888889,NA,8.33,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA,13.33,NA,16,NA,NA,NA,20
206,grp_5,3,0,13.846153846153847,9.09090909090909,9.411764705882353,7.6923076923076925,16,13.333333333333332,12.941176470588236,5,NA,20,NA,12.73,NA,NA,15,NA,NA,NA,NA,14.29,13.33,NA,20,NA,16.67,10,NA,16.67
599,grp_24,5,11.666666666666668,20,16.363636363636363,8.235294117647058,6.153846153846154,20,11.11111111111111,14.11764705882353,2.5,6.666666666666666,20,20,9.09,NA,NA,15,NA,NA,13.33,16.67,17.14,20,13.33,20,4,16.67,20,NA,13.33
289,grp_12,6,8.333333333333334,20,16.363636363636363,11.764705882352942,6.153846153846154,16,13.333333333333332,11.764705882352942,2.5,NA,14.29,20,10.91,10,NA,20,0,NA,13.33,NA,20,13.33,NA,10,NA,10,16.67,0,13.33
93,grp_13,10,0,12.307692307692308,16.363636363636363,11.764705882352942,0,12,4.444444444444445,7.058823529411765,17.5,11.11111111111111,NA,13.33,NA,NA,NA,NA,NA,15.45,NA,NA,11.43,20,NA,NA,12,NA,NA,NA,16.67
520,grp_4,8,5,6.153846153846154,14.545454545454547,10.588235294117647,9.230769230769232,20,11.11111111111111,20,NA,13.333333333333332,NA,13.33,18.18,5,2.5,20,0,0,20,10,20,NA,6.67,NA,8,NA,NA,10,NA
301,grp_2,3.5,8.333333333333334,12.307692307692308,16.363636363636363,4.705882352941177,6.153846153846154,20,15.555555555555555,12.941176470588236,5,NA,20,NA,10.91,NA,NA,15,NA,NA,13.33,0,NA,20,0,15,0,20,10,NA,16.67
352,grp_18,5.5,16.666666666666668,15.384615384615385,16.363636363636363,12.941176470588236,10.769230769230768,12,13.333333333333332,20,0,NA,15.71,NA,12.73,0,12.5,15,5,1.82,20,NA,NA,20,NA,15,NA,16.67,20,0,16.67
358,grp_21,10.5,8.333333333333334,18.461538461538463,16.363636363636363,11.764705882352942,12.307692307692308,16,20,20,2.5,11.11111111111111,15.71,16.67,18.18,15,15,15,0,11.82,20,10,17.14,13.33,16.67,20,8,20,20,15,20
699,grp_21,12,8.333333333333334,10.769230769230768,16.363636363636363,16.470588235294116,16.923076923076923,12,8.88888888888889,1.1764705882352942,NA,8.88888888888889,NA,NA,NA,15,20,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
172,grp_21,8,16.666666666666668,16.923076923076923,11.818181818181818,15.294117647058822,12.307692307692308,16,17.77777777777778,12.941176470588236,7.5,15.555555555555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,grp_18,2,1.6666666666666665,10.769230769230768,16.363636363636363,8.235294117647058,13.846153846153847,20,15.555555555555555,20,7.5,NA,15.71,16.67,18.18,10,10,15,0,12.73,13.33,10,20,20,NA,20,NA,20,20,15,10
253,grp_20,14,NA,16.923076923076923,9.09090909090909,7.058823529411765,20,16,15.555555555555555,10.588235294117647,12.5,8.88888888888889,15.71,13.33,20,0,12.5,20,0,NA,20,10,NA,20,0,15,0,16.67,16.67,0,20
135,grp_10,4,6.666666666666666,12.307692307692308,7.272727272727273,7.058823529411765,4.615384615384616,8,6.666666666666666,0,0,NA,12.86,8.33,NA,NA,NA,15,NA,0.91,0,0,17.14,0,NA,NA,NA,NA,NA,NA,NA
364,grp_15,3,0,9.230769230769232,12.727272727272727,5.882352941176471,7.6923076923076925,12,8.88888888888889,0.5882352941176471,0,4.444444444444445,20,11.67,9.09,NA,NA,0,NA,NA,6.67,NA,17.14,NA,0,NA,0,16.67,NA,NA,NA
261,grp_20,3.5,NA,NA,5.454545454545454,9.411764705882353,12.307692307692308,20,13.333333333333332,20,5,4.444444444444445,NA,11.67,NA,NA,NA,10,NA,NA,NA,10,NA,NA,NA,20,NA,20,20,NA,NA
159,grp_17,0,5,7.6923076923076925,10.909090909090908,0,4.615384615384616,0,13.333333333333332,9.411764705882353,5,6.666666666666666,10,NA,10.91,0,2.5,NA,NA,0.91,NA,NA,NA,13.33,NA,NA,NA,NA,NA,5,16.67
416,grp_15,2.5,-3.333333333333333,7.6923076923076925,10.909090909090908,4.705882352941177,10.769230769230768,12,15.555555555555555,6.470588235294118,2.5,11.11111111111111,17.14,16.67,18.18,10,0,10,0,9.09,13.33,3.33,17.14,13.33,6.67,20,NA,20,3.33,10,13.33
